trial,vs ALLC,vsTFT,vs GRIM,vs RANDOM,vs ALLD
1,1,1,1,1,0.6
2,1,1,1,0.7,0.6
3,1,0.9,1,0.8,0.6
4,0.6,0.9,1,0.6,0.5
5,1,0.6,1,0.7,0.5
6,0.9,1,1,0.5,0.3
7,1,1,1,0.5,0.6
8,1,1,1,0.8,0.8
9,1,1,1,0.6,0.6
10,0.9,1,0.6,0.7,0.7
11,1,1,1,0.8,0.5
12,1,1,1,0.7,0.4
13,1,1,1,0.8,0.6
14,1,1,1,0.4,0.4
15,1,0.9,1,0.8,0.6
16,1,0.8,1,0.9,0.7
17,1,1,1,1,0.6
18,1,1,1,0.6,0.5
19,1,1,1,0.8,0.6
20,0.6,0.9,1,0.6,0.5
21,1,1,1,0.6,0.6
22,1,1,1,0.6,0.6
23,1,1,1,0.8,0.7
24,1,1,0.9,0.5,0.6
25,1,1,1,0.9,0.6
26,0.9,1,1,0.8,0.7
27,0.9,1,1,0.9,0.5
28,1,1,1,0.8,0.7
29,0.9,1,0.9,0.8,0.6
30,1,1,1,0.6,0.6
31,1,1,1,0.7,0.6
32,1,1,1,0.9,0.6
33,1,1,1,0.8,0.8
34,1,1,1,0.9,0.6
35,1,1,1,0.6,0.5
36,1,1,1,0.8,0.6
37,1,1,1,0.8,0.6
38,1,1,0.8,0.6,0.6
39,1,1,1,0.8,0.6
40,1,1,1,0.8,0.6
41,1,1,1,0.9,0.6
42,1,1,1,0.9,0.6
43,1,1,1,0.6,0.6
44,1,1,1,0.7,0.6
45,1,1,0.7,0.7,0.7
46,1,0.9,1,0.8,0.6
47,1,1,1,0.7,0.6
48,1,1,1,0.7,0.8
49,1,1,0.5,0.7,0.6
50,1,1,1,0.8,0.6
51,1,1,1,0.3,0.6
52,0.9,1,1,0.4,0.8
53,1,1,0.9,0.5,0.6
54,1,1,1,0.6,0.7
55,1,1,0.8,0.8,0.4
56,1,0.3,0.6,0.9,0.7
57,1,0.4,0.5,0.5,0.6
58,1,0.9,1,0.4,0.6
59,1,0.5,1,0.7,0.7
60,1,1,1,0.8,0.6
61,1,1,1,0.8,0.7
62,1,1,1,0.8,0.7
63,0.8,1,1,0.7,0.7
64,1,1,0.6,0.7,0.7
65,1,1,1,0.7,0.6
66,1,1,1,0.8,0.6
67,1,1,1,0.8,0.7
68,1,1,1,0.7,0.6
69,1,1,1,0.8,0.5
70,1,1,1,0.8,0.8
71,0.9,1,1,1,0.6
72,1,1,1,0.6,0.4
73,1,1,1,1,0.7
74,0.9,1,1,0.8,0.6
75,1,1,1,0.9,0.6
76,1,1,1,0.7,0.6
77,1,1,1,0.8,0.6
78,1,1,1,0.9,0.5
79,1,1,1,0.8,0.6
80,1,1,1,0.7,0.6
81,1,1,1,1,0.7
82,1,0.4,1,0.7,0.6
83,0.4,1,1,0.8,0.7
84,1,1,1,0.8,0.7
85,1,1,1,0.9,0.6
86,1,1,1,0.6,0.6
87,1,1,0.7,0.8,0.6
88,1,1,1,0.8,0.5
89,1,1,1,0.8,0.4
90,1,1,1,0.8,0.6
91,0.6,1,1,1,0.6
92,1,0.6,1,1,0.6
93,1,1,1,0.7,0.5
94,1,1,1,0.8,0.5
95,1,1,1,0.7,0.5
96,1,1,1,0.7,0.6
97,1,0.8,1,0.5,0.7
98,1,1,1,1,0.5
99,1,1,0.9,0.8,0.7
100,1,1,1,0.8,0.5
